Type,Anomaly Count
Inspections - Potential Illegal Rooming House_vof,0
Transferred to WPS Special Events Line,0
Transferred for a Manitoba Floodway Inquiry,0
Skate Board Park Maintenance,0
Accomodation Tax Inquiry,0
Assessment & Tax Accessibility Inquiry,0
Wastewater Pumping Station Maintenance Request,0
Parking Inspection Request for Reschedule,0
Assessment & Tax Inspection Staff Feedback,0
Transferred to Councillor Lukes Office,0
Residential Parking Ban Towing Concern,0
Residential Parking Ban Ticketing Changes Inquiry,0
Accessible Parking Pilot Program/Survey Inquiry,0
Breeding No Permit_vof,0
SnowRemoval Request ActiveTransportation Street P3,0
Transferred for Insect Spraying Notifications,0
Sanding Request Active Transportation Pathway P2,0
Found Dog_vof,0
Sweeping Street P1 Request,0
"Prohibited Dog, Cat, Other Animal_vof",0
Federal Government Strike CRA,0
Climate Change Adaptation or Resiliency IR,0
Transferred to Graffiti - Request for a Sign,0
Pothole Backlane_vof,0
Licensing - Short-term Rental Agreement (STRA),0
Transferred to the Office of Public Engagement,0
Community Fire Prevention Program - Provencher BIZ,0
Parking Meter Removal Feedback,0
Recreation Services-Gift Card Requests,0
Transferred to Comm. Bylaw re Bike Auction Inq.,0
Transit Plus Trip Cancellation Inq,0
Enhanced Bike Lanes Safety Concern,0
Transferred to Fire - Tank Install/Remove/Change,0
Human Contact with Bats Report,0
SAFE Smoke Alarm Request (West Kildonan),0
SW Transitway Park & Ride Maintenance,0
Fire Safety House Presentation (Take & Transfer),0
Transferred to Councillor Schreyer Office,0
Frozen Culvert Report P1,0
Inspections - Fence_vof,0
Multi Year Budget Inquiry,0
Needle Drop Box Maintenance Request,0
Tax Installation Payment Plan-TIPP Confirm/Inq_vof,0
Vehicle for Hire Prepayment Pilot Project Inquiry,0
Community Fire Prevention Program - Exchange BIZ,0
Parking Authority Feedback Report Inquiry,0
Abandoned Animal Report,0
Brady Landfill & 4RDepot-Comments for Closure,0
Inspections - Mobile Sign_vof,0
Snow Removal around Fire Hydrant P2,0
Tease or Entice Animal,0
South End Water Pollution Control Ctre Comment/Inq,0
Basement Flooding Protection Subsidy Cheque (TT),0
Check for Water Leak - Trickling After Hours,0
Program Reg-Adaptive Services Inquiry (T&T),0
Program Reg - St. James Assiniboia Pass Suspension,0
Escalated Question,0
Park Rental - Garden Plot Rental (TT),0
PLU - Future Plans for Existing Park,0
Recycling Cart Maintenance Request,0
TR Peggo Receipt/Report Request,0
Program Reg-Free Summer Mobile Play Van (T & T),0
Whyte Ridge Community Garage Sale Parking Inquiry,0
Transfer to lndoor Pool (T & T)(See Rec and Leisur,0
2017 Canada Summer Games Route Inquiry,0
"Phil ""The Blue Box"" Inquiries (T & T)",0
Request for Large Appliance Adding To Pick Up,0
Arrange For a Temporary Hose Line,0
Transfer to BSC - License/payments,0
Flood Related Inquiries - Non-Emergency (T & T),0
TR Print/Advertising Complaint/Compliment,0
103 Grey Cup Inquiry,0
Cancel Flood Volunteer Offer,0
Zoning By-Law Complaint - Snow (T & T),0
Water Pipe Responsibility IR DO NOT USE,0
Turn Off Water - Repairs Emergency After Hours,0
Disraeli Bridge Project Inquiry,0
Councillor Lazarenko Inquiries (TT),0
Knowledge Solution,0
Councillor Steen Inquiries (TT),0
Aquatics-Facility/Pool Party Rental-Under 9,0
TIPP Monthly Payment Calculation,0
Program Reg - Recreation Equipment Loans,0
Park Rental - Parking Lot Rental (TT),0
Councillor Havixbeck Inquiries (TT),0
Park Rental - Site Not Listed and/or Rentable (TT),0
Pothole Nov 1 Priority 1 After,0
No Water - After Hours,0
311 Counter Misc. Water Refund Processed,0
Program Reg-NSF - Registration Payment Inquiry,0
CMS Other-Fall 2018 LG Changes Complaint,0
Waverley West Automated Meter Reading Pilot (TT),0
Civic Parkade Closure Escalated Inquiry,0
CF Impact Fee Inquiries (Finance Questions) (TT),0
Gypsy Moth Program Inquiry,0
Program Reg-Youth At Risk Fishing Program (T & T),0
Passenger Facilities Complaint,0
"Park Maint - Mowing, Clean Up",0
Flood Homeowner Assistance Initial Request,0
Turn Off Water - Repairs NonEmergency After Hours,0
Pothole May 16 Priority 2 After,0
Comments - Change of Collection Day Oct. 2017,0
TR Schedules & Routes Concern,0
Compost Bin or Rain Barrel Inquiries (TT),0
Summer Street Sweeping P1,0
Election - Worker Call Out - Deceased,0
Waverly West Arterial Project Inq (TT),0
Historical Overnight Parking Ban Inquiry,0
HT Trip Specific Info or Change Req (TT),0
Speak to Community Resource Coordinator (CRC) (TT),0
Photos with Santa,0
Other Dog License Req French (TT),0
TIPP Cancellation Confirmation,0
Disaster Emergency Information Inquiry,0
Mosquito Fogging History Inquiry,0
French Garbage Bin Handout Request,0
TR Bus Maintenance Complaint,0
Parking Ticket Changes Esc Inq,0
PLU - Accessibility Inquiry/Complaint,0
Property on Not Out Spreadsheet -Misc SR Submitted,0
Fire Paramedic Chief Inq (TT),0
Request Traffic Timing Written Report,0
Shelf Check - French (TT),0
Pixels for Pistols Inq (TT),0
Health Complaint- Day Care Facility,0
Exotic Animal,0
HT Complaint Driver Schedule Adherence,0
HAAM AD Inquiry/Concern,0
TR_Southwest Transitway Phase 2 Esc Inq,0
Parking Ticket Changes Inq,0
Too Many Cats/Dogs,0
Speak Up On Garbage Comments,0
Manyfest Ciclovia Inquiry,0
Livestock or Poultry,0
IR Not Answered due to Work Stoppage,0
Civic Charities Permit Request (TT),0
CFPP West Broadway,0
Roll Out Cart Delivery - Delivery Crew Complaint,0
Flood Out of Town Contact Info Letter Update,0
HT Complaint Driver Conduct,0
Stop Sign Down Priority 2 Reg,0
Land Development - Street Name Inquiry (TT),0
Councillor Steeves Inquiries (TT),0
Intact Non Sterilized Cat Permit,0
Flood Transfer Call to DOC (TT),0
Fall Street Sweeping Priority 3,0
Flood Homeowner Cancel Assitance Req (TT),0
Sewer Back Up - Clean Water After Hours,0
HT Fares Owing Charges (TT),0
Program Reg-Recreation Equipment Loans (TT),0
"Body Modification Exams, Licenses, Inquiries (TT)",0
Missing Person Transfer,0
Traffic Count Study (TT),0
Councillor Swandel Inquiries (TT),0
Emergency Response Exercise Inquiry,0
Facility Unexpectedly Closed (City Operated),0
HRTA (Home Renovation Tax Assistance Program),0
Budget Consultation Inquiry By E-Mail,0
Staff Complaint/Commendation - Property Inspection,0
Conservatory Complaint or Compliment,0
Debris in Street Priority 1 After T/T,0
TIPP Application Confirmation,0
Aquatics-Process Pool Rental Payment,0
"Request for Removal of Shrubs, Trees, Plants",0
Towing Missing Car After Hrs (TT),0
SEZ LOR Request,0
Shelf Check - English,0
Program Reg-SportProgramsInnerCityNeighbour(T&T),0
Refund Letter Inquiry (tt),0
Program Reg-Lions Pool Pottery Drop In Inquiry (TT,0
Tree Removal Request,0
Basement Flooding - After Hours,0
Election - Worker Call Out - Asked Call Back Again,0
2015 Budget Consultation Inquiry,0
Park Rental - Washroom Rental (TT),0
RPB Ticketing Changes Esc Inq,0
Councillor O'Shaughnessy Inquiries (TT),0
Zipper Merge IR,0
Lost and Found Request ( T & T),0
Councillor Nordman Inquiries (TT),0
Animal Services,0
Flood Evacuee Information,0
General Health Inquiries (TT),0
Election - Worker Call Out - Indictable Offence,0
Marion / Dugald Study,0
Residential Parking Permit Inq,0
Leaf It or Chip In Concern Deficiency,0
Parking Ban Information (TT),0
City Park Lot Mtce/Lighting (T&T),0
Program Reg-InPerson/Online Registration Complaint,0
Pothole May 16 Priority 1 After,0
PCL Constructors Canada Inc (TT),0
Fall Street Sweeping Priority 2,0
Apparatus Attendance at Events (TT),0
Pothole May 16 Priority 3 After,0
Staff/Process Complaint/Commendation  Taxation,0
No Water / Frozen Pipe Escalation,0
Program Reg-ActiveLiving/Refund/Suspension Inquiry,0
TR Rapid Transit Related Request,0
Sidewalk Repairs Haz After Hours P1 T/T,0
Public Inquiry about Work Stoppage,0
Zoning Contractor Licensing Information,0
Stop Sign Down Priority 2 After,0
Pothole Apr 1 Priority 2 After,0
Facility Weightroom Complaints,0
Replacement Cat Tags Request (TT),0
Park Maint - Toboggon Slides NonHazardous,0
TR Missing Person (TT),0
Election App General Inquiry,0
Donation to Assiniboine Park,0
Property on Not Out Spreadsheet - No SR Submitted,0
Observe Fire Evacuation Drill Request (TT),0
TR Public Opinion on Wi-Fi,0
Autobin Blocking Traffic,0
Credit Balance - Prepayment towards taxes,0
Water Meter Burst,0
RRAP(ResidentialRehabilitationAsst)Complaint (T&T),0
Program Reg-Recreation Employment Opportunities(TT,0
RRAP(ResidentialRehabilitationAsst)Eligible (T&T),0
Chief Peguis Project Inquiry,0
Inspections - Potential Rooming House Inq (TT),0
TIPP Bank Change Confirmation,0
Credit Balance - Refund Cheque,0
Surefoot Sidewalk Inquiry,0
Program Reg - Drop In Program Complaint/Inquiry,0
Brochure Request (T & T),0
Career Symposium Inquiry,0
Pothole Apr 1 Priority 1 After,0
Elected Official Compensation Review Inquiry,0
Program Reg-CorporateEmployeeWellnessProgramInq,0
City Facility Safety/Security Concern (T & T),0
Inspections -Vacant or Derelict Building Complaint,0
Autobin Removal Comments,0
Volunteer at a Library IR,0
Speak Up On Garbage Expo (TT),0
Construction Inquiry for 1155 Pacific Avenue (TT),0
Assessment Sales Comparisons - Property,0
Recreation-Recreation Employment Opportunities(TT),0
Request for Item to be Added to Committee Agenda,0
Buffer Zone Inquiry Request,0
PLU - Winnipeg Zoning By-law 200/2006 Review (TT),0
Property Planning & Development  Inquiry,0
Ditch Overflowing (TT),0
TR Peggo Misc. Inquiry or Concern or Report,0
Precautionary Notice to Boil Water (TT),0
River Pollution/Outfalls,0
Recycling Depot Tours (T & T),0
Leasing Inquiries,0
Request to Speak to Committee,0
CFPP Old St. Vital BIZ,0
Turn On Water - Repairs Complete After Hours,0
Garbage & Recycling Surveys (TT),0
Charter Services Request,0
Train Whistling Concern (TT,0
City Facility Request to Paint a Mural (T & T),0
Land Development - Property File Search Request,0
Major Incident Missing Person Report,0
Councillor River Heights/Fort Garry Inquiries (TT),0
HT Handi-Transit Registrant Application Status,0
Request for At Need Cemetery Grave Services/Sales,0
BBQ Information Inquiry,0
HT Complaint Driver Service & Procedures,0
French Service Not Avail. – No BSC – French,0
Other Staff Complaint/Compliment,0
Turn On Water - Payment Made After Hours,0
Major Incident Refer to Outside Agency (TT),0
Aboriginal Relations Misc. Inq,0
Lindenwoods Community Garage Sale Parking Inquiry,0
Newspaper/Vending Boxes Concern,0
Program Reg-Recreation Leadership Development Inq,0
South End Water Pollution Control Centre Inquiry,0
Arson Saftey Audit Inq,0
Buffer Zone Application,0
Concessions at City Facilities (T & T),0
Garbage & Recycling Customer Polling,0
Parking RPB Escalated/Admin Inquiries,0
Replacement Dog Tags Request French Transfer (TT),0
Calls About Rossmere Golf Course 7th Hole Flooding,0
Snow Removal Front Approach Miss Spot Plow Reg(TT),0
Water & Waste,0
Program Reg-Aquatic Practice Teaching Enquiry,0
New Cat License (TT),0
Hydrant Leaking After Hours,0
2014 Budget Consultation Inquiry,0
Print/Advertising Complaint/Compliment,0
Curb Repair Hazardous Regular Hours,0
Health Complaint- Tattoo or Piercing Estab,0
2017 CUPE Strike Mandate/Work Stoppage Inquiries,0
Hydrant Buried In Snow,0
Pedal in the Peg - City Hall Bike Rental,0
TR Street Disturbance Complaint,0
Compost Bin Sale - Damaged or Missing Parts (TT),0
Parking Ticket Be Aware Program Complaint,0
Neighbourhood Characterization Studies (TT),0
New Bus Shelter Request,0
Tree - Damaged - NonHazardous,0
Park Maint - Replace Litter Container,0
Program Reg-Miscellaneous Management Inquiries,0
Meeting Room Request - French (TT),0
Free Surplus Recycling Pick Up Oct. 2017,0
Talking Book Service - English,0
Boil Water Advisory Outbound Call Successful,0
Free Surplus Garbage Pick Up Oct. 2017,0
BSC Counter Sundry Payment,0
IGF Handi Transit IR,0
Request Early Recycling Cart Upgrade,0
Writer in Residence,0
Request for Extra Garbage Bin Pickup (Not Autobin),0
Growth Inquiry Study,0
IGF Access to Campus IR,0
Island Lakes Community Garage Sale Inquiry,0
Parks By-Law Payment,0
Customer Information Systems Complaint,0
CmS Other-Multi-year Budget Escalated Inquiry,0
RITC ( Residential Infill Tax Credit Program),0
Unsterilized Cat,0
PLU - Park Erosion Protection Projects (TT),0
Park Rental - Process Casual Athletic Field Rental,0
Local Improvement Request,0
Health Complaint- Personal Care Facility,0
Fix A Leak Inquiry,0
Health Complaint- Pools,0
TR_Southwest Transitway Art (TT),0
Street Disturbance Complaint,0
FIFA Womens Cup Inquiry,0
Rapid Transit Parking Change Notification Inq,0
Hydraulic Elevators Discharged Oil Inq (TT),0
Sustainability - Climate Action Plan,0
Waste Disposal Private Septic System,0
FIPPA Complaints/Concerns,0
2013 Flood General/Technical Inquiry,0
Recreation-Community Incentive Grant Program (TT),0
Sewage Plant Upgrade And/Or Well Inq (TT),0
Cupe SnowPlow Hotline,0
Transfer to Recreation (See Rec and Leisure),0
Program Reg-ExtendedFacilityClosurePassSuspension,0
Manhole Cover Ajar or Missing (T & T),0
Program Reg-Inclusive Programming Inquiries,0
Water Conservation Retrofit Kits (T & T),0
Dog License Transfer Ownership French Trans (TT),0
Water Meter Not Working,0
MB Hydro LED Conversion Complaint/Concern (TT),0
IGF Restricted Streets IR,0
Water Meter Planned Replacement,0
Athletic Field Review Inq,0
IGF More Information IR,0
2012 CoW Career Fair Inquiry,0
Turn Off Water - Remove Meter,0
Riverbank Stabilization Inquiry,0
Water Quality Sediment/Discolor - Non Emergency,0
Zoning - Campaign Signage Complaints (TT),0
HT Where's My Ride? (TT),0
Cancel Dog License French Transfer (TT),0
Zoning Campaign Signage Complaint (TT),0
Pruning - Encroaching on ROW,0
CFPP Provencher Blvd,0
Fall Street Sweeping Priority 1,0
IGF Permit Holders IR,0
Program Reg-Preschool Drop-In Centres (TT),0
Inspections - Complaints/Commendations (T & T),0
SAFE Assiniboia Inq,0
Traffic Signal Malfunction Follow Up/Inquiry,0
NPG - Raleigh St (TT),0
BSC Counter Local Improvements Payment,0
Reference Question - French (TT),0
Program Reg-FreeChildrensDropInProgInquiry(T&T),0
311 COVID-19 Tracking SR,0
HT Application Form Mail Out,0
Bus Maintenance Complaint,0
IGF Active Transportation IR,0
Assessment Sales Comparisons - Business,0
Program Reg-Aquatic Employment Opportunities,0
Request for Cemetery Misc Sales,0
Program Registration - French (TT),0
PLU - Current Construction in Playground/Park,0
Traffic Signals Dig Up Notification,0
Kildonan Park Marquis Sign Inq (TT),0
HT Complaint Passenger Behavior,0
Plant Information Request (TT),0
Booking Auto Carts for a Tournament (TT),0
Plant Information Request,0
BioSolids Project Inquiry (TT),0
Standpipe/Bulk Water Station Concern After Hrs,0
Exhibit Space - English,0
Turn On Water - New Service,0
Overhead Traffic Sign Support Problem,0
Program Reg-Citizen's Action Network Membership In,0
Zoo Complaint or Compliment,0
Park Rental -Park/Field/Band/Garden Complaint (TT),0
Residential Waste Audit (TT),0
Meeting Room Request - English,0
Program Reg-Program Leader Application Status,0
Stop Sign Down Priority 3 After,0
Staff/Process Complaint/Commendation  Assmt,0
Speak to Community Resource Coordinator (CRC),0
test,0
HT Lost Property Inquiry,0
Election - Worker Call Out - LegislationCompliance,0
TR New Bus Shelter Request,0
Snow Removal Streets Plowing Done Missed Request,0
Water Excavation - NonDangerous,0
Historical Parking Ban Inquiry,0
Aquatics-Aquatic Employment Opportunities,0
Flood PW Call Back to Sandbag,0
"Athletic Field Maint - Aeration, Fertilizing",0
Charging Admission for Zoo on July 1 (TT),0
Work Bus/School Charter Inquiry,0
Water Conservation Inquiries/Retrofit Kits,0
Prepayment Notice Mailing List,0
Pothole Nov 1 Priority 2 After,0
Stop Sign Down Priority 3 Reg,0
Disraeli Freeway (TT),0
Waverley Underpass Project Inq,0
Dirty Water After Hours,0
Library Information Not Found,0
TTY Dart Information,0
Angled Parking Inquiry,0
Panet Road / Molson St Twinning Project Inq,0
Suggestion for Purchase (T & T),0
Poor Pressure After Hours,0
CPR Crossing Study Inquiry,0
Staff Complaint/Commendation - Business Inspection,0
Facility Mtce Complaint (NonCityOperated),0
Request not filled due to work stoppage,0
Traffic Calming Project - Hawstead,0
A & O Vulnerable Seniors Assistance Req - Transfer,0
Boulevard Tree Pruning - Traffic Signs Obstructed,0
IGF/Event Parking Infraction Concern,0
Boil Water Advisory Outbound Call NOT Successful,0
311 Counter Other/Non City Services Inquiry,0
Mayoral Registration/Campaign Inq (TT),0
Adopt a Park (TT),0
Fire Safety House Presentation (TT),0
Community Gardens IR,0
CSS Past Winnipeg Hydro Emp Inq (TT),0
311 Counter Utility Billing Inquiry,0
CAO Office of Public Engagement Inquiry (TT),0
Comments Commendations Complaint-English(Branches),0
Dog License Transfer of Ownership (TT),0
Recreation-Facility Mtce Complaint (NonCity),0
Complaints/Commendations - Staff/Operational,0
Flood Homeowner Additional Assistance Request,0
Election - Worker Call Out - Phone OOS,0
Adopt a Rink (TT),0
TR Peggo Pending Orders Report,0
Sewer Renewal Inquiry/Concern - Non Emergency (TT),0
Mediation Services Inquiry,0
Newspaper Boxes Inquiries (TT),0
Property on Not Out Map - No SR Submitted,0
Unlicensed Pitbull,0
Flood Preparation Volunteer Inq,0
Pedestrian Countdown Signals Feedback,0
Group Flood Volunteer Information Registration,0
Roll Out Cart Repair/Replacement  (Side Load),0
Other Cat License Req (TT),0
Pass a Message to Golfer on Course (TT),0
Zoning By-Law Complaint - Fence (T & T),0
Payment/Invoice Issues,0
Program Reg-CommunityIncentiveGrantProgram(T&T),0
Park Maint - Park Structure Damage Report,0
2020 Free Summer Day Camps (TT),0
Water Technical  Advisor,0
TR Peggo Card History Inq,0
New Cat License - 311 Process Payment,0
Burial / Interment Search Inquiry,0
Lane Marking Inquiry,0
Water Supply Concerns Inquiry,0
Active Transportation Inquiries,0
PLU - Build a Playground,0
Registration - Indoor Pool – Public Swim,0
Standpipe/Bulk Water Station Concern,0
Naturalist Services Inq (TT),0
Water Quality Lead Pipe Testing Program - Inquiry,0
Zoning Complaints/Commendations (T & T),0
Inspection Request - Business,0
COVID 19 - Direct To Provice Tip Line/Form,0
Sump Pump Discharge Inquiry,0
Toboggan Slides,0
Fireworks - High Hazard or Pyrotechnic Permits (TT,0
Skating Rinks,0
Impact Fee FAQ IR,0
Sanding Street/Roadway P2_vof,0
Recreation-Account Balance Inquiry,0
COVID 19 - Fill Out Province Tip Line/Form,0
Age Friendly Accessibility IR,0
zzzInspections - Property File Search Request (TT),0
Owner Found Dog,0
TR Peggo Loading Card Error_VOF,0
Snow Removal Path/Trail Priority P1AT Reg,0
Snow Removal_VOF,0
Garbage Calendar Inquiry,0
TR_Southwest Transitway Bus Stop Maint,0
BSC Counter Realty Tax Payment,0
Spring Weight Restrictions,0
Councillor Clement Inquiries (TT),0
Police Frauds and Scams Inquiry,0
Cancel ODS Pick Up,0
Election Day Candidate Esc Inq (T & T),0
Home Security Cameras,0
Request to Speak at Committee Meeting (TT),0
Health Complaint- Housing,0
Flooding FAQs Inquiry,0
Santa Bus Route Inquiry,0
Civic Parkade Closure Inq,0
CSS Social Services Inq (TT),0
Parks & Forestry Winnipeg.ca Search Inquiry,0
Environmental Discharge/Disposal Licenses (TT),0
Councillor Registration/Campaign Inq (TT),0
Recreation-Program Complaint,0
Clean Up from Homeless,0
Sanding Request - Sidewalk After P1 - (TT),0
Park Maint - Playground Equip Hazardous After,0
Park Maint - Broken Glass,0
Neighbourhood Liveability By-Law Screening Inquiry,0
Request for Funding/Financial Assistance,0
IGF Scheduled Event IR,0
Serious/Fatal Collisions Information (TT),0
No Water Emergency Services Hospital/Lab T&T,0
Water Meter Different Sized Meter Request (TT),0
Spring Sidewalk Sweeping Report Priority 2,0
Fire Paramedics Winnipeg.ca Search Inquiry,0
TP Trip Cancellation (TT),0
Police Photo Enforcement Inquiry,0
Brady 4R Mattress Recycling Pilot Program,0
HRTA (Home Renovation Tax Assistance Program) (TT),0
Membership Card/Account - French (TT),0
Review/Modify/Cancel Booking,0
TR Bus Operator Position Inq (TT),0
Recreation-Senior Centre Inquiry,0
Transferred to Comm. Bylaw re STRA,0
Charity Information Inquiry,0
311 Counter Sundry Payment,0
Conservatory Rental,0
Winnipeg Parking Authority,0
Comments Commendations Complaint-Admin (TT),0
TR Missing Person Phone Police (TT),0
Found Cat,0
BSC 311 Counter French Inquiries,0
Pot Hole Inquiry,0
Escalated By-Election Questions,0
Frozen Pipe FAQ,0
Inspections - Request for an Inspection (T & T),0
Collections Escalated Inquiry,0
Basement Flooding Inquiry,0
Water Information System (WIS) Search,0
Ditch Overflowing Priority 2 Reg,0
Sanding Request Priority 2AT Pathway/Trail After,0
311 Counter City Hall Directions/Info Provided,0
Program Reg-Registration Refund Inquiry,0
APE Inquiry,0
PA Towing Missing Car Inquiry,0
Councillor Thomas Inquiries (TT),0
Ditch Culvert Maintenance (TT),0
Election - Worker Call Out - No Answer,0
Autobin - Changes to Collection - Trial Area,0
Bureau of Records Information Req (TT),0
Councillor Browaty Inquiries (TT),0
Non Standard Boulevard Treatment Permit/Complaint,0
Assessment Special Information,0
Highway Traffic Act Information (TT),0
Park Rental - General Park Booking Inquiries (TT),0
Service Fees Schedule Inquiry,0
2017 Canada Summer Games Inquiry,0
TR Other Staff Complaint/Compliment,0
Assiniboine Park Complaint or Compliment,0
Zoning By-Law Complaint - Prop Encroachments (TT),0
Water Renewal Inquiry/Concern - Non Emergency (TT),0
BSC Counter Animal License Payment,0
Turn On Water - New Service (T & T),0
Information on Public Hearing Process,0
Get Name on Voter List,0
Zoning Building Code Inquiries,0
Program Reg-YouthActionCentreInquiry(T&T),0
Illegal Swimming Pool Discharge,0
Councillor Morantz Inquiries (TT),0
WpgEmerg Text Service Inq/Report,0
CSS Legal Services Inq (TT),0
Transfer to Arena (T & T),0
Items Lost in Garbage or Recycling Containers (TT),0
Aquatics-Wading Pool / Spray Pad Inquiries,0
311 Counter Misc. Tax Refund Processed,0
Forward Claim Form Email to Risk Management,0
Police Fee Schedule Inquiry,0
Blvd Beautification or Non-Standard Treatment (TT),0
Request for a Permit Form,0
Water Quality Lead Pipe Testing - Program Appoint.,0
Park Maint - Brush Pick Up,0
AS Newcomer Assistance TT,0
Turn Off Water - Sprinkler Repairs,0
Fire Pits Inquiry,0
Park Bench Donation (TT),0
City Faciliy Mtce/Cleanliness/Closed (T&T),0
Program Reg-CGS Memberships Inquiry (T&T),0
Traffic Count Study,0
Program Reg - Child/Youth Free Drop-In Programs,0
Vomit/Excrement on ROW (TT),0
Meeting Room Request - English (TT),0
Councillor Fielding Inquiries (TT),0
TR Charter Services Request (TT),0
French Language Services  (T & T),0
Park Rental - Process Casual Park Booking,0
Councillor Smith Inquiries (TT),0
Membership Card/Account - English (TT),0
Recreation Arena PS Schedule Inquiry,0
Parked Vehicles Impeding City Beautification Op's,0
Missed Food Waste Collection Deficiency,0
Aquatics-ActiveLiving/Refund/Suspension Inquiry,0
Request Traffic Signals Information,0
Transferred to the Utility Billing Centre,0
Street Maintenance General Inquiry,0
211 Manitoba TT,0
Street Maintenance Winnipeg.ca Search Inquiry,0
Spring Street Sweeping Request P3,0
Questions/Concerns for Property Owners in Tax Sale,0
Media Inquiries (TT),0
Transit Miscellaneous Inquiry,0
Transfer to Central Files - Building Plans,0
Towing Fee Refund/Claim Request,0
Snow Removal Sidewalk P3_vof,0
Traffic Signal Contact First Responder,0
CMS Other_Subsidy Participant Withdrawals,0
Park Crossing Permit,0
Vehicle for Hire Prepayment Pilot Project Inq,0
IGF Private Driveway Selling Parking (TT),0
Sewer Notices Received Inquiry/Concern,0
Homelessness Partnering Strategy Inquiries (TT),0
CSS Access 123 Job Line Inq (TT),0
Street Maintenance Towing Inquiries,0
Sewer Renewal Inquiry/Concern - Non Emergency,0
Snow Removal Sidewalk P1_vof,0
Transferred to Mediation Services re Zoning,0
Park Maint - Playground Equip Hazardous,0
Standing Water Inspection Request_vof,0
Hazardous Road Conditions Report P3,0
Water Meter - Request for Additional Meters,0
Water Information System (WIS) Non-Repair,0
Parked Vehicles Impeding Roadway Construct/Maint,0
BSC Counter Transit Fare Product Purchase,0
Dog Parks IR,0
Snow Removal High Piles P3_vof,0
Hydrant Area/Turf Maintenance,0
Active Transportation IR,0
Call to Cemetery Security,0
Debris By Contractor,0
CF City Employees T4-Earnings (TT),0
Streets By-Law Payment,0
Alarm By-Law Payment,0
"Prohibited Cat, Dog or Other Animal",0
Registration - Indoor Pool - Fitness,0
PW Fleet Management Inquiry TT,0
Traffic Signal MalfunctionSM,0
EPTC Self Declaration Form_vof,0
Park Maint - Needles or Sharps,0
Rec Services-General Inquiries,0
Know Your Zone App,0
PPD Film & Special Events Inq (TT),0
Registration - Indoor Pool – Lap Swim,0
TR Peggo Technical Error Report_VOF,0
Transferred to Transit re Charter Services,0
Forestry Pruning General Non-Hazardous_vof,0
City Facility Maintenance Request,0
Request to Speak to a Bus Operator (TT),0
PLU - Riverbank Stabilization Inquiry,0
Centralized Services - Building Plans IR,0
Req New Traffic Signals/Lights P1,0
Transit Lost & Found Inquiry,0
Open Air Fire Ban Inquiry,0
Sanding Sidewalk/Pathway P2_vof,0
Residential Food Waste Pilot Inquiry (RFW),0
Parking Authority General Inquiry,0
Park Rental Payment Regular Hours (Take&Transfer),0
Missed Front Approaches 19:00 - 07:00,0
CSS Employees Benefits Program Inq (TT),0
Parking Authority Towed Missing Vehicle Inquiry,0
Archives Appointment Requests,0
CAO Sustainable Waste Management & Diversion,0
CmS Other COVID - Vaccination Card Entry,0
Collection Day Inquiry,0
Sidewalk Repair P2_vof,0
Aquatics-Pool Reservation Payment,0
Transferred due to a Parking Lien/Collections,0
Sewer Contractor Information Request (TT),0
Misc. Capital Projects IR,0
311 Counter By-Law Penalty Notice Payment,0
Downtown Temporary Washroom Inquiry,0
Sanding Sidewalk/Pathway P1_vof,0
Water Quality Sediment/Discolor - EmergencyRegular,0
Recreation-InPerson/Online Registration Complaint,0
Vulnerable Seniors Report,0
IGF Noise Complaints Log,0
Zoning By-Law Screening,0
Membership Card/Account - English,0
Council Policies Question,0
Golf Hours of Operation Inquiry,0
Vulnerable Seniors Information Inq,0
Missed Food Waste Collection Same Day Miss,0
Recreation-Recreation Staff Complaint,0
Crisis Calls,0
School Roadway Congestion Complaint_vof,0
Councillor Eadie Inquiries (TT),0
Cannot Connect to 911(TT),0
Transfer to the Province for EPTR Questions,0
Missed Recycling Excess Due To Previous Miss,0
VFH By-Law Payment,0
Animal Care Donation - 311 Process Payment,0
Tank Install/Removal/Piping Change (TT),0
Reporting an Unlicensed Dog,0
Vacant Buildings By-Law Payment,0
Snow Remova Street_VOF,0
Zoning Plan Approval Inquiry,0
BSC Counter Assessment & Taxation Inquiry,0
Open Air Fire Burning Complaint,0
"Info Request on Boards, Committees, Commissions",0
Request For Application,0
Refer to Provincial Bedbug Hotline,0
Follow up- Commendation,0
Responsible Pet Ownership By-Law Payment,0
Vehicle for Hire Driver/Dispatcher Reports,0
Volunteer At Animal Services,0
TR Bus Stop Area/Bus Stop_VOF,0
Screening Request Status Inquiry,0
Aquatics-Transfer to Outdoor Pool (TT),0
Sanding Street/Roadway P1_vof,0
Inspections - After Hours Inspector Call Back,0
Meter Removal Inquiry,0
Responsibility for Water Pipes,0
Towing Log Checked for Missing Vehicle,0
Cut Restoration FAQ Inquiry,0
Zoning Contractor Licensing Information (T & T),0
Homeless at Bus Stop Area,0
Purchase a Green Fee Pass (TT),0
Sick or Injured Domestic Animal,0
311 Counter Business Tax Payment,0
Councillor Schreyer Inquiries (TT),0
Cannabis Referral to Province,0
Sewer Pipe Responsibilities Inquiry,0
Property Assessment Details Search Inquiry,0
Aquatics Spray Pad Schedule Inquiry,0
Railway Crossing Intersection Closure (TT),0
Excess Animals,0
Suspicious Dead Animal,0
Leisure Guide Processed a Registration,0
